item,category
wai wai quick noodles,food and beverages
rara instant noodles,food and beverages
2pm instant noodles,food and beverages
preeti instant noodles,food and beverages
mayos instant noodles,food and beverages
britannia marie gold biscuits,food and beverages
parle g glucose biscuits,food and beverages
nebico glucose biscuits,food and beverages
patanjali doodh biscuits,food and beverages
oreo cream biscuits,food and beverages
dhara sunflower oil,food and beverages
amrit mustard oil,food and beverages
shakti soybean oil,food and beverages
saffola gold cooking oil,food and beverages
fortune refined sunflower oil,food and beverages
hulas jeera masino rice,food and beverages
india gate basmati rice,food and beverages
gyan premium long grain rice,food and beverages
arna gold steam rice,food and beverages
arihant classic rice,food and beverages
gyan masoor dal,food and beverages
hulas rahar dal,food and beverages
ddc kalo dal,food and beverages
local musuro dal,food and beverages
arihant moong dal,food and beverages
aashirvaad whole wheat aata,food and beverages
gyan shakti bhog aata,food and beverages
hulas premium aata,food and beverages
patanjali whole wheat aata,food and beverages
shakti bhog chakki fresh aata,food and beverages
tokla gold tea,food and beverages
mechi dust tea,food and beverages
ilam garden green tea,food and beverages
everest chiya patti,food and beverages
red label natural care tea,food and beverages
ayo noon iodized salt,food and beverages
tata salt iodized salt,food and beverages
shakti salt,food and beverages
surya salt,food and beverages
himalayan pink salt,food and beverages
hulas refined sugar,food and beverages
everest crystal sugar,food and beverages
generic mishri sugar cubes,food and beverages
madhur pure sugar,food and beverages
local brand sugar,food and beverages
century mix masala powder,food and beverages
mdh kitchen king masala,food and beverages
everest garam masala,food and beverages
badshah chana masala,food and beverages
shaan biryani masala,food and beverages
coca cola carbonated drink,food and beverages
fanta orange drink,food and beverages
pepsi soft drink,food and beverages
sprite lemon lime drink,food and beverages
mountain dew soft drink,food and beverages
real mixed fruit juice,food and beverages
frooti mango drink,food and beverages
maaza mango drink,food and beverages
dabur activ orange juice,food and beverages
rio fusion fruit drink,food and beverages
kinley mineral water,food and beverages
bailey packaged water,food and beverages
aqua 100 purified water,food and beverages
himalayan natural mineral water,food and beverages
bisleri mineral water,food and beverages
ddc fresh milk packet,food and beverages
sitaram dairy milk,food and beverages
amul taaza toned milk,food and beverages
lactel uht milk,food and beverages
gyan cow milk,food and beverages
ddc plain yogurt cup,food and beverages
sitaram sweet dahi,food and beverages
amul masti dahi,food and beverages
gyan fresh dahi,food and beverages
kalinchowk juju dhau,food and beverages
ddc pure cow ghee,food and beverages
amul pure ghee,food and beverages
patanjali cow ghee,food and beverages
gyan sagun ghee,food and beverages
sagarmatha pure ghee,food and beverages
amul salted butter,food and beverages
ddc white butter,food and beverages
britannia table butter,food and beverages
president unsalted butter,food and beverages
local brand butter,food and beverages
amul cheese slice,food and beverages
ddc yak cheese,food and beverages
britannia cheese block,food and beverages
flanders mozzarella cheese,food and beverages
kalinchowk cheese block,food and beverages
haldirams bhujia sev,food and beverages
bikaji bikaneri bhujia,food and beverages
current spicy dalmoth,food and beverages
lehar namkeen mixture,food and beverages
nepal foods ratlami sev,food and beverages
lays classic salted chips,food and beverages
kurkure masala munch,food and beverages
pringles original chips,food and beverages
doritos nacho cheese,food and beverages
2pm potato stix,food and beverages
cadbury dairy milk chocolate,food and beverages
nestle kitkat chocolate,food and beverages
snickers chocolate bar,food and beverages
amul dark chocolate,food and beverages
mars chocolate bar,food and beverages
kissan fresh tomato ketchup,food and beverages
maggi hot and sweet sauce,food and beverages
heinz tomato ketchup,food and beverages
tops tomato ketchup,food and beverages
druk tomato ketchup,food and beverages
kissan mixed fruit jam,food and beverages
druk orange marmalade,food and beverages
nutella hazelnut spread,food and beverages
tops pineapple jam,food and beverages
mother dairy mixed fruit jam,food and beverages
dabur pure honey,food and beverages
patanjali honey,food and beverages
apis himalayan honey,food and beverages
zandu pure honey,food and beverages
himalayan bee concern raw honey,food and beverages
druk mixed vegetable pickle,food and beverages
priya mango pickle,food and beverages
mothers recipe lime pickle,food and beverages
nillons mango pickle,food and beverages
himalayan fresh lapsi pickle,food and beverages
hulas taichin chiura,food and beverages
gyan special chiura,food and beverages
local red beaten rice,food and beverages
local thin beaten rice,food and beverages
arihant premium chiura,food and beverages
nutrela soya chunks,food and beverages
fortune soya mini chunks,food and beverages
vama soya chunks,food and beverages
local brand soya chunks,food and beverages
saffola soya chunks,food and beverages
kelloggs corn flakes,food and beverages
bagrrys white oats,food and beverages
quaker oats pouch,food and beverages
nestle koko krunch,food and beverages
saffola masala oats,food and beverages
knorr classic tomato soup,food and beverages
maggi mixed vegetable soup,food and beverages
chings secret manchow soup,food and beverages
top ramen instant soup,food and beverages
himalayan java mushroom soup,food and beverages
krishna pauroti white bread,food and beverages
nanglo bakery brown bread,food and beverages
k town bakery whole wheat bread,food and beverages
hot breads milk bread,food and beverages
generic sweet bread,food and beverages
gorkha strong beer,food and beverages
tuborg classic beer,food and beverages
carlsberg premium pilsner,food and beverages
nepal ice natura beer,food and beverages
everest premium lager beer,food and beverages
red bull energy drink,food and beverages
sting energy drink,food and beverages
arna energy drink,food and beverages
x force energy drink,food and beverages
monster energy drink,food and beverages
old durbar black chimney whiskey,food and beverages
8848 vodka and whiskey,food and beverages
signature premier grain whiskey,food and beverages
royal stag deluxe whiskey,food and beverages
johnnie walker black label whiskey,food and beverages
amul vanilla ice cream tub,food and beverages
havmor cone ice cream,food and beverages
baskin robbins chocolate ice cream,food and beverages
ddc stick ice cream,food and beverages
nds best choco bar ice cream,food and beverages
nescafe classic instant coffee,food and beverages
bru instant coffee,food and beverages
maccoffee 3 in 1 mix,food and beverages
himalayan java roasted beans,food and beverages
davidoff rich aroma coffee,food and beverages
dabur chyawanprash,food and beverages
patanjali chyawanprash,food and beverages
zandu kesari jivan chyawanprash,food and beverages
himalaya chyawanprash,food and beverages
baidyanath chyawanprash,food and beverages
lijjat papad,food and beverages
haldirams papad,food and beverages
bikanervala papad,food and beverages
shree ganesh papad,food and beverages
local rice flour papad,food and beverages
hulas puffed rice,food and beverages
current chatpate muri mix,food and beverages
local masala puffed rice,food and beverages
generic plain puffed rice,food and beverages
nepal foods muri,food and beverages
prasuma chicken momo,food and beverages
darshan buff momo,food and beverages
big bite vegetable momo,food and beverages
valley frozen momo,food and beverages
generic pork momo,food and beverages
shakti bhog suji,food and beverages
hulas suji,food and beverages
gyan fine semolina,food and beverages
local brand mota suji,food and beverages
rajdhani suji,food and beverages
surf excel laundry powder,household supplies
ariel washing powder,household supplies
tide detergent powder,household supplies
ghadi detergent powder,household supplies
wheel active laundry powder,household supplies
harpic toilet cleaner,household supplies
domex toilet cleaner,household supplies
mr muscle toilet cleaner,household supplies
sani fresh toilet cleaner,household supplies
patanjali toilet cleaner,household supplies
vim dishwash liquid,household supplies
pril dishwash liquid,household supplies
exo dishwash liquid,household supplies
diyo dishwash liquid,household supplies
godrej expert dishwash liquid,household supplies
vim dishwash bar,household supplies
exo dishwash bar,household supplies
rin dishwashing bar,household supplies
patanjali dishwash bar,household supplies
super sabun dishwash bar,household supplies
lizol floor cleaner,household supplies
dettol floor cleaner,household supplies
mr muscle floor cleaner,household supplies
good home floor cleaner,household supplies
patanjali divya floor cleaner,household supplies
colin glass cleaner,household supplies
mr muscle glass cleaner,household supplies
pril glass cleaner,household supplies
dettol glass cleaner,household supplies
generic blue glass cleaner,household supplies
comfort fabric conditioner,household supplies
ezee liquid detergent,household supplies
downy fabric softener,household supplies
gentle fabric conditioner,household supplies
vernel fabric conditioner,household supplies
dettol disinfectant liquid,household supplies
savlon antiseptic liquid,household supplies
lifebuoy disinfectant liquid,household supplies
lizol disinfectant liquid,household supplies
medimix disinfectant liquid,household supplies
hit insect killer spray,household supplies
mortien insect killer spray,household supplies
all out insect killer spray,household supplies
baygon insect killer spray,household supplies
finit insect killer spray,household supplies
godrej aer room freshener spray,household supplies
odonil room freshener spray,household supplies
ambi pur room freshener spray,household supplies
air wick room freshener spray,household supplies
lia room freshener spray,household supplies
